JobCodeNumber,JobCount,MinimumAge,MaximumAge,Female,Male,Total,SumMale,SumFemale
752,11,43,61,0,11,11,,
774,11,42,65,0,11,11,,
990,11,19,60,0,11,11,,
72,10,26,59,0,10,10,,
141,10,40,62,0,10,10,,
157,10,36,54,1,9,10,,
203,10,23,61,7,3,10,,
305,10,48,60,0,10,10,,
325,10,34,59,0,10,10,,
339,10,28,59,0,10,10,,
443,10,30,51,0,10,10,,
571,10,36,60,0,10,10,,
639,10,37,58,5,5,10,,
749,10,52,66,0,10,10,,
824,10,36,52,0,10,10,,
841,10,28,50,0,10,10,,
957,10,38,48,0,10,10,,
49,9,29,53,1,8,9,,
79,9,20,47,2,7,9,,
176,9,31,73,0,9,9,,
327,9,42,61,0,9,9,,
365,9,30,58,1,8,9,,
384,9,26,69,0,9,9,,
419,9,53,62,2,7,9,,
420,9,29,54,0,9,9,,
593,9,45,65,0,9,9,,
649,9,45,47,0,9,9,,
666,9,48,57,0,9,9,,
667,9,22,56,0,9,9,,
968,9,30,49,0,9,9,,
19,8,25,54,1,7,8,,
140,8,20,63,2,6,8,,
246,8,32,55,0,8,8,,
313,8,18,48,8,0,8,,
340,8,38,61,0,8,8,,
366,8,20,50,0,8,8,,
375,8,25,56,0,8,8,,
387,8,23,38,0,8,8,,
457,8,37,57,7,1,8,,
475,8,40,61,0,8,8,,
709,8,23,50,1,7,8,,
743,8,29,51,0,8,8,,
821,8,35,53,0,8,8,,
889,8,26,49,0,8,8,,
944,8,38,63,0,8,8,,
1016,8,27,57,0,8,8,,
44,7,29,61,1,6,7,,
60,7,26,54,3,4,7,,
84,7,26,42,0,7,7,,
116,7,23,43,0,7,7,,
156,7,27,46,4,3,7,,
210,7,28,56,3,4,7,,
268,7,47,55,0,7,7,,
332,7,44,49,0,7,7,,
345,7,29,63,0,7,7,,
395,7,51,65,1,6,7,,
421,7,45,64,0,7,7,,
594,7,38,46,0,7,7,,
599,7,48,54,0,7,7,,
647,7,22,56,1,6,7,,
689,7,42,56,0,7,7,,
716,7,28,57,0,7,7,,
724,7,30,48,0,7,7,,
796,7,50,57,0,7,7,,
811,7,27,40,0,7,7,,
858,7,32,62,1,6,7,,
915,7,47,54,1,6,7,,
922,7,30,49,4,3,7,,
2,6,22,52,0,6,6,,
29,6,41,55,0,6,6,,
50,6,40,52,1,5,6,,
73,6,30,66,1,5,6,,
146,6,28,53,0,6,6,,
148,6,33,60,0,6,6,,
171,6,25,49,0,6,6,,
177,6,34,55,1,5,6,,
178,6,23,59,0,6,6,,
198,6,29,53,5,1,6,,
200,6,31,46,0,6,6,,
221,6,23,47,3,3,6,,
229,6,35,52,0,6,6,,
292,6,43,50,0,6,6,,
334,6,37,51,5,1,6,,
390,6,49,63,0,6,6,,
410,6,27,52,3,3,6,,
416,6,56,59,0,6,6,,
417,6,39,52,0,6,6,,
422,6,30,57,2,4,6,,
423,6,19,66,3,3,6,,
448,6,38,41,1,5,6,,
456,6,20,55,5,1,6,,
481,6,44,55,0,6,6,,
487,6,37,42,0,6,6,,
511,6,29,43,0,6,6,,
602,6,21,52,0,6,6,,
645,6,39,46,0,6,6,,
733,6,25,40,0,6,6,,
801,6,53,54,0,6,6,,
816,6,38,57,0,6,6,,
823,6,43,45,0,6,6,,
851,6,53,62,0,6,6,,
905,6,22,57,1,5,6,,
956,6,30,47,0,6,6,,
1003,6,29,53,1,5,6,,
48,5,29,38,0,5,5,,
58,5,42,57,0,5,5,,
85,5,29,60,1,4,5,,
134,5,36,41,0,5,5,,
143,5,54,56,0,5,5,,
153,5,38,49,0,5,5,,
158,5,53,57,0,5,5,,
191,5,28,43,2,3,5,,
343,5,20,68,0,5,5,,
355,5,39,64,0,5,5,,
369,5,25,53,0,5,5,,
374,5,47,61,0,5,5,,
405,5,32,57,2,3,5,,
425,5,44,66,2,3,5,,
451,5,33,58,0,5,5,,
470,5,24,55,0,5,5,,
484,5,46,53,0,5,5,,
494,5,42,59,0,5,5,,
496,5,32,46,0,5,5,,
514,5,50,54,0,5,5,,
573,5,55,58,0,5,5,,
587,5,53,60,0,5,5,,
669,5,42,53,0,5,5,,
672,5,36,61,0,5,5,,
701,5,22,23,0,5,5,,
714,5,48,54,0,5,5,,
