JobCodeNumber,JobCount,MinimumAge,MaximumAge,Female,Male
562,1929,18,67,286,1643
563,144,21,64,28,116
564,20182,16,78,921,19261
565,1482,17,70,157,1325
566,378,18,71,20,358
567,138,19,62,1,137
568,1268,19,72,139,1129
569,168,25,70,9,159
570,83,34,63,0,83
571,10,36,60,0,10
572,14,27,51,1,13
573,5,55,58,0,5
574,96,27,65,0,96
575,3,44,46,0,3
576,155,27,60,9,146
577,7035,17,78,762,6273
578,583,18,69,18,565
579,71,28,62,0,71
580,2,37,37,0,2
581,22711,17,87,1021,21690
582,266,19,77,22,244
583,3503,18,70,250,3253
584,254,20,69,13,241
585,128,21,67,2,126
586,36,32,55,12,24
587,5,53,60,0,5
588,2,45,52,0,2
589,15476,17,75,507,14969
590,3,42,44,0,3
591,28,20,58,0,28
592,18,30,67,0,18
593,9,45,65,0,9
594,7,38,46,0,7
595,24,19,57,0,24
596,37,28,72,0,37
597,11,38,49,0,11
598,30,27,64,1,29
599,7,48,54,0,7
600,56,21,67,3,53
601,24,34,64,0,24
602,6,21,52,0,6
603,24,24,63,0,24
604,2,40,44,0,2
605,340,20,66,27,313
606,39,29,67,3,36
607,4,40,43,0,4
608,3,44,47,0,3
609,25,24,56,7,18
610,19,28,61,0,19
611,3799,18,66,695,3104
612,17542,17,83,1181,16361
613,27,26,56,0,27
614,341,19,72,49,292
615,2,42,44,0,2
616,4,42,44,0,4
617,14,30,61,1,13
618,3,35,37,0,3
619,3815,18,68,537,3278
620,14,18,47,0,14
621,127,29,73,2,125
622,27581,17,83,1032,26549
623,3,24,43,0,3
624,2,43,45,0,2
625,1358,19,71,41,1317
626,3,47,53,0,3
627,2,19,52,0,2
628,2,55,56,0,2
629,2,50,51,0,2
630,2,49,58,0,2
631,3,47,59,0,3
632,165,26,66,8,157
633,626,17,66,92,534
634,2,50,59,0,2
635,68,24,70,15,53
636,3001,16,73,373,2628
637,154,26,65,2,152
638,94,35,72,0,94
639,10,37,58,5,5
640,426,18,71,0,426
641,41,30,70,1,40
642,33,22,71,7,26
643,11,47,62,0,11
644,19,27,63,0,19
645,6,39,46,0,6
646,33,19,52,0,33
647,7,22,56,1,6
648,48,23,59,0,48
649,9,45,47,0,9
650,3,33,54,0,3
651,19,44,63,0,19
652,11,20,37,1,10
653,3,53,54,0,3
654,2,51,55,0,2
655,768,19,71,31,737
656,296,23,71,9,287
657,2,41,42,0,2
658,1128,20,84,20,1108
659,1766,20,81,130,1636
660,4,36,47,0,4
661,3014,19,79,30,2984
662,180,22,64,20,160
663,14,32,57,1,13
664,46,32,57,0,46
665,247,23,68,0,247
666,9,48,57,0,9
667,9,22,56,0,9
668,7223,17,78,588,6635
669,5,42,53,0,5
670,28,30,55,11,17
671,73,28,69,0,73
672,5,36,61,0,5
673,803,22,75,0,803
674,64,24,61,0,64
675,72,33,63,0,72
676,525,17,71,25,500
677,49,36,57,0,49
678,76,33,68,0,76
679,864,19,71,39,825
680,51,27,74,1,50
681,2,42,43,0,2
682,5155,18,81,37,5118
683,16,35,60,0,16
684,227,18,68,11,216
685,14,28,58,0,14
686,235,26,62,7,228
687,18,20,62,2,16
688,21,23,49,12,9
689,7,42,56,0,7
690,55,28,65,13,42
691,42,26,69,1,41
692,95,18,65,4,91
693,20,29,54,3,17
694,781,22,66,167,614
695,14,36,74,0,14
696,323,22,74,11,312
697,186,23,68,68,118
698,18,32,52,7,11
699,32,24,57,0,32
700,3,44,48,0,3
701,5,22,23,0,5
702,2,52,54,0,2
703,820,16,74,70,750
704,26,27,60,0,26
705,440,17,75,25,415
706,549,19,72,12,537
707,49,20,62,6,43
708,4,23,53,0,4
709,8,23,50,1,7
710,12,38,60,0,12
711,148,22,62,30,118
712,2,46,47,2,0
713,2,51,51,0,2
