JobCodeNumber,JobCount,MinimumAge,MaximumAge,Female,Male,Total,SumMale,SumFemale
561,99,27,75,1,98,99,,
562,1929,18,67,286,1643,1929,,
563,144,21,64,28,116,144,,
564,20182,16,78,921,19261,20182,,
565,1482,17,70,157,1325,1482,,
566,378,18,71,20,358,378,,
567,138,19,62,1,137,138,,
568,1268,19,72,139,1129,1268,,
569,168,25,70,9,159,168,,
570,83,34,63,0,83,83,,
571,10,36,60,0,10,10,,
572,14,27,51,1,13,14,,
573,5,55,58,0,5,5,,
574,96,27,65,0,96,96,,
575,3,44,46,0,3,3,,
576,155,27,60,9,146,155,,
577,7035,17,78,762,6273,7035,,
578,583,18,69,18,565,583,,
579,71,28,62,0,71,71,,
580,2,37,37,0,2,2,,
581,22711,17,87,1021,21690,22711,,
582,266,19,77,22,244,266,,
583,3503,18,70,250,3253,3503,,
584,254,20,69,13,241,254,,
585,128,21,67,2,126,128,,
586,36,32,55,12,24,36,,
587,5,53,60,0,5,5,,
588,2,45,52,0,2,2,,
589,15476,17,75,507,14969,15476,,
590,3,42,44,0,3,3,,
591,28,20,58,0,28,28,,
592,18,30,67,0,18,18,,
593,9,45,65,0,9,9,,
594,7,38,46,0,7,7,,
595,24,19,57,0,24,24,,
596,37,28,72,0,37,37,,
597,11,38,49,0,11,11,,
598,30,27,64,1,29,30,,
599,7,48,54,0,7,7,,
600,56,21,67,3,53,56,,
601,24,34,64,0,24,24,,
602,6,21,52,0,6,6,,
603,24,24,63,0,24,24,,
604,2,40,44,0,2,2,,
605,340,20,66,27,313,340,,
606,39,29,67,3,36,39,,
607,4,40,43,0,4,4,,
608,3,44,47,0,3,3,,
609,25,24,56,7,18,25,,
610,19,28,61,0,19,19,,
611,3799,18,66,695,3104,3799,,
612,17542,17,83,1181,16361,17542,,
613,27,26,56,0,27,27,,
614,341,19,72,49,292,341,,
615,2,42,44,0,2,2,,
616,4,42,44,0,4,4,,
617,14,30,61,1,13,14,,
618,3,35,37,0,3,3,,
619,3815,18,68,537,3278,3815,,
620,14,18,47,0,14,14,,
621,127,29,73,2,125,127,,
622,27581,17,83,1032,26549,27581,,
623,3,24,43,0,3,3,,
624,2,43,45,0,2,2,,
625,1358,19,71,41,1317,1358,,
626,3,47,53,0,3,3,,
627,2,19,52,0,2,2,,
628,2,55,56,0,2,2,,
629,2,50,51,0,2,2,,
630,2,49,58,0,2,2,,
631,3,47,59,0,3,3,,
632,165,26,66,8,157,165,,
633,626,17,66,92,534,626,,
634,2,50,59,0,2,2,,
635,68,24,70,15,53,68,,
636,3001,16,73,373,2628,3001,,
637,154,26,65,2,152,154,,
638,94,35,72,0,94,94,,
639,10,37,58,5,5,10,,
640,426,18,71,0,426,426,,
641,41,30,70,1,40,41,,
642,33,22,71,7,26,33,,
643,11,47,62,0,11,11,,
644,19,27,63,0,19,19,,
645,6,39,46,0,6,6,,
646,33,19,52,0,33,33,,
647,7,22,56,1,6,7,,
648,48,23,59,0,48,48,,
649,9,45,47,0,9,9,,
650,3,33,54,0,3,3,,
651,19,44,63,0,19,19,,
652,11,20,37,1,10,11,,
653,3,53,54,0,3,3,,
654,2,51,55,0,2,2,,
655,768,19,71,31,737,768,,
656,296,23,71,9,287,296,,
657,2,41,42,0,2,2,,
658,1128,20,84,20,1108,1128,,
659,1766,20,81,130,1636,1766,,
660,4,36,47,0,4,4,,
661,3014,19,79,30,2984,3014,,
662,180,22,64,20,160,180,,
663,14,32,57,1,13,14,,
664,46,32,57,0,46,46,,
665,247,23,68,0,247,247,,
666,9,48,57,0,9,9,,
667,9,22,56,0,9,9,,
668,7223,17,78,588,6635,7223,,
669,5,42,53,0,5,5,,
670,28,30,55,11,17,28,,
671,73,28,69,0,73,73,,
672,5,36,61,0,5,5,,
673,803,22,75,0,803,803,,
674,64,24,61,0,64,64,,
675,72,33,63,0,72,72,,
676,525,17,71,25,500,525,,
677,49,36,57,0,49,49,,
678,76,33,68,0,76,76,,
679,864,19,71,39,825,864,,
680,51,27,74,1,50,51,,
681,2,42,43,0,2,2,,
682,5155,18,81,37,5118,5155,,
683,16,35,60,0,16,16,,
684,227,18,68,11,216,227,,
685,14,28,58,0,14,14,,
686,235,26,62,7,228,235,,
687,18,20,62,2,16,18,,
688,21,23,49,12,9,21,,
689,7,42,56,0,7,7,,
690,55,28,65,13,42,55,,
691,42,26,69,1,41,42,,
692,95,18,65,4,91,95,,
693,20,29,54,3,17,20,,
694,781,22,66,167,614,781,,
695,14,36,74,0,14,14,,
696,323,22,74,11,312,323,,
697,186,23,68,68,118,186,,
698,18,32,52,7,11,18,,
699,32,24,57,0,32,32,,
700,3,44,48,0,3,3,,
701,5,22,23,0,5,5,,
702,2,52,54,0,2,2,,
703,820,16,74,70,750,820,,
704,26,27,60,0,26,26,,
705,440,17,75,25,415,440,,
706,549,19,72,12,537,549,,
707,49,20,62,6,43,49,,
708,4,23,53,0,4,4,,
709,8,23,50,1,7,8,,
710,12,38,60,0,12,12,,
711,148,22,62,30,118,148,,
712,2,46,47,2,0,2,,
713,2,51,51,0,2,2,,
714,5,48,54,0,5,5,,
715,2534,17,76,280,2254,2534,,
716,7,28,57,0,7,7,,
717,37,27,60,3,34,37,,
718,203,20,61,18,185,203,,
719,2,39,40,0,2,2,,
720,19372,16,75,437,18935,19372,,
721,5066,17,70,167,4899,5066,,
722,434,20,65,0,434,434,,
723,127,17,66,0,127,127,,
724,7,30,48,0,7,7,,
725,60,32,68,0,60,60,,
726,4,39,46,0,4,4,,
727,6342,17,78,469,5873,6342,,
728,5699,17,76,187,5512,5699,,
729,3,50,52,0,3,3,,
730,2,62,63,0,2,2,,
731,860,18,75,13,847,860,,
732,42,25,69,0,42,42,,
733,6,25,40,0,6,6,,
734,160,24,61,0,160,160,,
735,29,35,65,0,29,29,,
736,12,23,61,5,7,12,,
737,252,26,65,4,248,252,,
738,35,19,67,0,35,35,,
739,147,19,72,6,141,147,,
740,16,33,51,0,16,16,,
741,23860,16,75,934,22926,23860,,
742,39,20,58,0,39,39,,
743,8,29,51,0,8,8,,
744,23,34,60,0,23,23,,
745,2142,17,70,47,2095,2142,,
746,3,47,52,0,3,3,,
747,2101,18,71,94,2007,2101,,
748,2,50,53,0,2,2,,
749,10,52,66,0,10,10,,
750,28,37,60,0,28,28,,
751,1236,19,69,6,1230,1236,,
752,11,43,61,0,11,11,,
753,317,23,70,13,304,317,,
754,3535,19,76,90,3445,3535,,
755,36,25,70,0,36,36,,
756,768,18,72,32,736,768,,
757,496,24,69,4,492,496,,
758,474,23,71,24,450,474,,
759,549,19,76,27,522,549,,
760,5,36,38,0,5,5,,
761,1093,18,74,29,1064,1093,,
762,286,17,67,3,283,286,,
